,id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,pt_condo,pt_apartment,pt_house,pt_rental_unit,pt_hotel,pt_hostel,rt_entire_home/ap,rt_private_room,rt_shared_room,geometry,neighbourhood
5650,829024056548992323,50.09104816711119,14.441263992590349,4,1.0,2.0,2.0,307.48,1,365,2,5.0,0,1,0,0,0,0,1,0,0,POINT (14.441263992590349 50.09104816711119),Praha 8
5651,829045295041221672,50.09104816711119,14.441392738623064,4,1.5,2.0,2.0,252.48000000000002,1,365,2,5.0,0,1,0,0,0,0,1,0,0,POINT (14.441392738623064 50.09104816711119),Praha 8
5652,829543368219647120,50.0724799,14.4336424,3,1.0,1.0,4.0,36.56,1,365,9,4.33,0,0,0,1,0,0,1,0,0,POINT (14.4336424 50.0724799),Praha 2
5653,829581924085449452,50.0858551,14.436173,4,1.0,1.0,4.0,71.16,1,365,2,4.0,0,0,0,1,0,0,1,0,0,POINT (14.436173 50.0858551),Praha 1
5654,829618169147902632,50.0778687,14.4577823,3,1.5,2.0,3.0,92.44,3,20,27,5.0,0,0,0,1,0,0,1,0,0,POINT (14.4577823 50.0778687),Praha 3
5655,830287257400221208,50.078955,14.424511,2,1.0,1.0,1.0,68.56,1,1125,104,4.83,0,0,0,1,0,0,1,0,0,POINT (14.424511 50.078955),Praha 1
5656,830327509809348768,50.09205124772392,14.450263222444567,4,1.0,1.0,4.0,126.72,1,365,89,4.53,0,0,0,1,0,0,1,0,0,POINT (14.450263222444567 50.09205124772392),Praha 8
5657,831012391495344356,50.0876636,14.402692,6,2.5,3.0,6.0,338.72,1,365,10,5.0,0,0,0,1,0,0,1,0,0,POINT (14.402692 50.0876636),Praha 1
5658,831212890950644667,50.09062003500368,14.421214473016375,8,3.0,2.0,5.0,221.20000000000002,2,1124,97,4.99,0,0,0,1,0,0,1,0,0,POINT (14.421214473016375 50.09062003500368),Praha 1
5659,831246602529032839,50.0787817557016,14.42760833276105,3,1.0,1.0,3.0,151.24,1,365,20,4.45,0,0,0,0,1,0,0,1,0,POINT (14.42760833276105 50.0787817557016),Praha 1
